call_number_id,facets
Lewis E M 4:11,14th century|Book of Hours|Devotion|France|French|Belgium|Flemish|Fragment
Lewis E M 4:12,14th century|Psalter|Bible|Biblical|England|English|Fragment
Lewis E M 4:13,14th century|France|French|Pontifical|Liturgy|Fragment
Lewis E M 4:14,17th century|18th century|Fragment
Lewis E M 5:1,12th century|Bible|Biblical|Commentary|France|French|Illumination|Fragment
Lewis E M 5:2,12th century|France|French|Bible|Biblical|Commentary|Fragment
Lewis E M 5:3,14th century|Psalter|Bible|Biblical|Belgium|Flemish|Fragment
Lewis E M 5:4,14th century|Belgium|Flemish|Song book|Musical notation|Fragment
Lewis E M 5:5,14th century|Belgium|Flemish|Antiphonary|Liturgy|Fragment
Lewis E M 5:6,15th century|Belgium|Flemish|Antiphonary|Liturgy|Fragment
Lewis E M 5:7,14th century|France|French|Christian|Illustration|Fragment
Lewis E M 5:8,15th century|Gradual|Belgium|Flemish|Liturgy|Fragment
Lewis E M 5:9,15th century|Belgium|Flemish|Song book|Musical notation|Fragment
Lewis E M 5:10,15th century|Liturgy|Belgium|Flemish|Penwork initial|Fragment
Lewis E M 5:11,14th century|Belgium|Flemish|France|French|Fragment
Lewis E M 5:12,14th century|Belgium|Flemish|Fragment
Lewis E M 5:13,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:14,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:15,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:16,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:17,15th century|Germany|German|Devotion|Fragment
Lewis E M 5:18,15th century|Commentary|Biblical|Illustration|Fragment
Lewis E M 5:19,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:20,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:21,15th century|Song book|Musical notation|Germany|German|Fragment
Lewis E M 5:21A,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 5:22,15th century|Book of Hours|Devotion|Belgium|Flemish|Painting|Fragment
Lewis E M 5:23,15th century|Book of Hours|Devotion|Belgium|Flemish|Painting|Fragment
Lewis E M 5:24,15th century|Book of Hours|Devotion|Belgium|Flemish|Painting|Fragment
Lewis E M 5:25,15th century|Book of Hours|Devotion|Belgium|Flemish|Painting|Fragment
Lewis E M 5:26,15th century|Book of Hours|Devotion|Belgium|Flemish|Painting|Fragment
Lewis E M 5:27,15th century|Belgium|Flemish|Breviary|Liturgy|Fragment
Lewis E M 6:1,16th century|Belgium|Flemish|Liturgy|Prayer book|Fragment
Lewis E M 6:2,16th century|Belgium|Flemish|Liturgy|Prayer book|Fragment
Lewis E M 6:3,15th century|Song book|Musical notation|Belgium|Flemish|Fragment
Lewis E M 6:4,16th century|Psalter|Bible|Biblical|France|French|Fragment
Lewis E M 6:5,16th century|Belgium|Flemish|Antiphonary|Liturgy|Fragment
Lewis E M 6:6,16th century|Belgium|Flemish|Gradual|Liturgy|Fragment
Lewis E M 6:7,19th century|Fragment
Lewis E M 7:1,13th century|France|French|Legal|Christian|Fragment
Lewis E M 7:2,15th century|France|French|Book of Hours|Devotion|Fragment
Lewis E M 7:3,15th century|France|French|Book of Hours|Devotion|Fragment
Lewis E M 7:4,15th century|France|French|Fragment
Lewis E M 7:5,15th century|France|French|Illustration|Fragment
Lewis E M 7:6a-l,15th century|France|French|Penwork initial|Fragment
Lewis E M 7:7a-j,15th century|Liturgy|France|French|Fragment
Lewis E M 7:8,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 7:9,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 7:10,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 7:11,15th century|Book of Hours|Devotion|Belgium|Flemish|Fragment
Lewis E M 8:1,13th century|Belgium|Flemish|Psalter-Hours|Devotion|Fragment
Lewis E M 8:2,13th century|Belgium|Flemish|Psalter-Hours|Devotion|Fragment
Lewis E M 8:3,13th century|France|French|Psalter-Hours|Devotion|Fragment
Lewis E M 8:4,13th century|Belgium|Flemish|Psalter-Hours|Devotion|Fragment
Lewis E M 8:5,14th century|France|French|Antiphonary|Liturgy|Fragment
Lewis E M 8:6,14th century|France|French|Antiphonary|Liturgy|Fragment
Lewis E M 8:7,13th century|France|French|Bible|Biblical|Fragment
Lewis E M 8:8,13th century|France|French|Bible|Biblical|Fragment
Lewis E M 8:9,13th century|France|French|Bible|Biblical|Fragment
Lewis E M 8:10,14th century|France|French|Bible|Biblical|Illustration|Fragment
Lewis E M 8:11,13th century|Lectionary|Liturgy|Belgium|French|Fragment
Lewis E M 8:12,13th century|Pontifical|France|French|Liturgy|Fragment
Lewis E M 8:13a-d,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:14a-d,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:15a-d,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:16a-c,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:17a-c,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:18a-c,15th century|France|French|Bible|Biblical|Illustration|Illumination|Fragment
Lewis E M 8:19,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 8:20,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 8:21,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 8:22,15th century|16th century|France|French|Gradual|Liturgy|Fragment
Lewis E M 8:23,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 8:24,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:1,15th century|Antiphonary|France|French|Liturgy|Fragment
Lewis E M 9:2,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:3,15th century|16th century|France|French|Song book|Musical notation|Fragment
Lewis E M 9:4,15th century|16th century|France|French|Song book|Musical notation|Fragment
Lewis E M 9:5,15th century|16th century|France|French|Song book|Musical notation|Fragment
Lewis E M 9:6,15th century|France|French|Song book|Musical notation|Fragment
Lewis E M 9:6A,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:7,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:8,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:8A,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:8B,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:8C,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:9,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:10,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:11,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:12,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:13,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:14,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:14A,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:15,15th century|16th century|Gospel Lectionary|Illustration|Liturgy|Belgium|Flemish|Fragment
Lewis E M 9:16a-d,15th century|16th century|Gospel Lectionary|Illustration|Liturgy|Belgium|Flemish|Fragment
Lewis E M 9:16A,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:16B,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:17,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:17A,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 9:18,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:19,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:20,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:21,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:22,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:23,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:24,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:25,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:26,15th century|Breviary|Liturgy|France|French|Illustration|Fragment
Lewis E M 9:27,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:1,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:2,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:3,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:4,15th century|Song book|Musical notation|Belgium|Flemish|Fragment
Lewis E M 10:4A,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:4B,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:5,15th century|Illustration|Christian|Private devotional text|Fragment
Lewis E M 10:6,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:7,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Belgium|Flemish|Fragment
Lewis E M 10:8,15th century|France|French|Book of Hours|Devotion|Fragment
