folder_base,image files
lewis_e_m_005_024,mcai050241.tif|mcai050242.tif
lewis_e_m_005_025,mcai050251.tif|mcai050252.tif
lewis_e_m_005_026,mcai050261.tif|mcai050262.tif
lewis_e_m_005_027,mcai050271.tif|mcai050272.tif
lewis_e_m_006_001,mcai060011.tif|mcai060012.tif
lewis_e_m_006_002,mcai060021.tif|mcai060022.tif
lewis_e_m_006_003,mcai060031.tif|mcai060032.tif
lewis_e_m_006_004,mcai060041.tif|mcai060042.tif
lewis_e_m_006_005,mcai060051.tif|mcai060052.tif
lewis_e_m_006_006,mcai060061.tif|mcai060062.tif
lewis_e_m_006_007,mcai060071.tif|mcai060072.tif
lewis_e_m_007_001,mcai070011.tif|mcai070012.tif
lewis_e_m_007_002,mcai070021.tif|mcai070022.tif
lewis_e_m_007_003,mcai070031.tif|mcai070032.tif
lewis_e_m_007_004,mcai070041.tif
lewis_e_m_007_005,mcai070051.tif
lewis_e_m_007_006a-l,mcai070061.tif
lewis_e_m_007_007a-j,mcai070071.tif|mcai070072.tif
lewis_e_m_007_008,mcai070081.tif|mcai070082.tif
lewis_e_m_007_009,mcai070091.tif|mcai070092.tif
lewis_e_m_007_010,mcai070101.tif|mcai070102.tif
lewis_e_m_007_011,mcai070111.tif|mcai070112.tif
lewis_e_m_008_001,mcai080011.tif|mcai080012.tif
lewis_e_m_008_002,mcai080021.tif|mcai080022.tif
lewis_e_m_008_003,mcai080031.tif|mcai080032.tif
lewis_e_m_008_004,mcai080041.tif|mcai080042.tif
lewis_e_m_008_005,mcai080051.tif|mcai080052.tif
lewis_e_m_008_006,mcai080061.tif|mcai080062.tif
lewis_e_m_008_007,mcai080071.tif|mcai080072.tif
lewis_e_m_008_008,mcai080081.tif|mcai080082.tif
lewis_e_m_008_009,mcai080091.tif|mcai080092.tif
lewis_e_m_008_010,mcai080101.tif|mcai080102.tif
lewis_e_m_008_011,mcai080111.tif|mcai080112.tif
lewis_e_m_008_012,mcai080121.tif|mcai080122.tif
lewis_e_m_008_013a-d,mcai080131.tif|mcai080132.tif|mcai080133.tif|mcai080134.tif|mcai080135.tif|mcai080136.tif|mcai080137.tif|mcai080138.tif
lewis_e_m_008_014a-d,mcai080141.tif|mcai080142.tif|mcai080143.tif|mcai080144.tif|mcai080145.tif|mcai080146.tif|mcai080147.tif|mcai080148.tif
lewis_e_m_008_015a-d,mcai080151.tif|mcai080152.tif|mcai080153.tif|mcai080154.tif|mcai080155.tif|mcai080156.tif|mcai080157.tif|mcai080158.tif
lewis_e_m_008_016a-c,mcai080163.tif|mcai080164.tif|mcai080165.tif|mcai080166.tif|mcai080167.tif|mcai080168.tif
lewis_e_m_008_017a-c,mcai080173.tif|mcai080174.tif|mcai080175.tif|mcai080176.tif|mcai080177.tif|mcai080178.tif
lewis_e_m_008_018a-c,mcai080183.tif|mcai080184.tif|mcai080185.tif|mcai080186.tif|mcai080187.tif|mcai080188.tif
lewis_e_m_008_019,mcai080191.tif|mcai080192.tif
lewis_e_m_008_020,mcai080201.tif|mcai080202.tif
lewis_e_m_008_021,mcai080211.tif|mcai080212.tif
lewis_e_m_008_022,mcai080221.tif|mcai080222.tif
lewis_e_m_008_023,mcai080231.tif|mcai080232.tif
lewis_e_m_008_024,mcai080241.tif|mcai080242.tif
lewis_e_m_009_001,mcai090011.tif|mcai090012.tif
lewis_e_m_009_002,mcai090021.tif|mcai090022.tif
lewis_e_m_009_003,mcai090031.tif|mcai090032.tif
lewis_e_m_009_004,mcai090041.tif|mcai090042.tif
lewis_e_m_009_005,mcai090051.tif|mcai090052.tif
lewis_e_m_009_006,mcai090061.tif|mcai090062.tif
lewis_e_m_009_006a,mcai090063.tif|mcai090064.tif
lewis_e_m_009_007,mcai090071.tif|mcai090072.tif
lewis_e_m_009_008,mcai090081.tif|mcai090082.tif
lewis_e_m_009_008a,mcai090083.tif|mcai090084.tif
lewis_e_m_009_008b,mcai090085.tif|mcai090086.tif
lewis_e_m_009_008c,mcai090087.tif|mcai090088.tif
lewis_e_m_009_009,mcai090091.tif|mcai090092.tif
lewis_e_m_009_010,mcai090101.tif|mcai090102.tif
lewis_e_m_009_011,mcai090111.tif|mcai090112.tif
lewis_e_m_009_012,mcai090121.tif|mcai090122.tif
lewis_e_m_009_013,mcai090131.tif|mcai090132.tif
lewis_e_m_009_014,mcai090141.tif|mcai090142.tif
lewis_e_m_009_014a,mcai090143.tif|mcai090144.tif
lewis_e_m_009_015,mcai090150.tif|mcai090153.tif|mcai090154.tif|mcai090155.tif|mcai090156.tif|mcai090157.tif|mcai090158.tif|mcai090159.tif
lewis_e_m_009_016a-d,mcai090161.tif|mcai090162.tif
lewis_e_m_009_016a,mcai090163.tif|mcai090164.tif
lewis_e_m_009_016b,mcai090165.tif|mcai090166.tif
lewis_e_m_009_017,mcai090171.tif|mcai090172.tif
